id,faculty_name,semester,academic_year,course_code,course_name,ug_pg,core_elective,is_first_year,first_year_course_name,source,is_faculty_placeholder,created_at,updated_at
1,Sanjit Krishna Kaul,Monsoon 2022,2022-2023,CSE564/ECE564,Reinforcement Learning,UG/PG,Elective,No,,historical,No,,
2,Sanjit Krishna Kaul,Winter 2023,2022-2023,MTH201,Probability and Statistics (Sec A),UG,Core,Yes,Maths II (Probability & Statistics),historical,No,,
3,Sanjit Krishna Kaul,Monsoon 2023,2023-2024,CSE564/ECE564,Reinforcement Learning,UG/PG,Elective,No,,historical,No,,
4,Sanjit Krishna Kaul,Winter 2024,2023-2024,ECE636,Communication Networks,UG/PG,Elective,No,,historical,No,,
5,Sanjit Krishna Kaul,Winter 2024,2023-2024,MTH201,Probability and Statistics (Sec B),UG,Core,Yes,Maths II (Probability & Statistics),historical,No,,
6,Sanjit Krishna Kaul,Monsoon 2024,2024-2025,MTH371,Stochastic Processes and Applications,UG/PG,Elective,No,,historical,No,,
7,Sanjit Krishna Kaul,Monsoon 2024,2024-2025,CSE564/ECE564,Reinforcement Learning,UG/PG,Elective,No,,historical,No,,
8,Sanjit Krishna Kaul,Winter 2025,2024-2025,MTH201,Probability and Statistics (Sec B),UG,Core,Yes,Maths II (Probability & Statistics),historical,No,,
9,Sanjit Krishna Kaul,Monsoon 2025,2025-2026,CSE564/ECE564,Reinforcement Learning,UG/PG,Elective,No,,historical,No,,
10,Sanjit Krishna Kaul,Winter 2026,2025-2026,MTH201,P&S,UG,Core,Yes,Maths II (Probability & Statistics),historical,No,,
11,Sujay Deb,Monsoon 2022,2022-2023,CSE311/CSE511/ECE511,Computer Architecture,UG/PG,Elective,No,,historical,No,,
12,Sujay Deb,Winter 2023,2022-2023,CSE112,Computer Organisation (Sec A),UG,Core,Yes,Computer Organization,historical,No,,
13,Sujay Deb,Monsoon 2023,2023-2024,CSE311/CSE511/ECE511,Computer Architecture,UG/PG,Elective,No,,historical,No,,
14,Sujay Deb,Winter 2024,2023-2024,ECE999,Advanced Computer Architecture,UG/PG,Elective,No,,historical,No,,
15,Sujay Deb,Winter 2024,2023-2024,CSE112,Computer Organisation (Sec A),UG,Core,Yes,Computer Organization,historical,No,,
16,Sujay Deb,Monsoon 2024,2024-2025,CSE311/CSE511/ECE511,Computer Architecture,UG/PG,Elective,No,,historical,No,,
17,Sujay Deb,Winter 2025,2024-2025,CSE112,Computer Organisation (Sec A),UG,Core,Yes,Computer Organization,historical,No,,
18,Sujay Deb,Winter 2025,2024-2025,CSE112,Computer Organisation (Sec B),UG,Core,Yes,Computer Organization,historical,No,,
19,Sujay Deb,Winter 2025,2024-2025,ECE999A2,Advanced Computer Architecture,UG/PG,Elective,No,,historical,No,,
20,Sujay Deb,Monsoon 2025,2025-2026,CSE311/CSE511/ECE511,Computer Architecture,UG/PG,Elective,No,,historical,No,,
21,Sujay Deb,Winter 2026,2025-2026,CSE112,Computer Organization,UG,Core,Yes,Computer Organization,historical,No,,
22,Angshul Majumdar,Monsoon 2022,2022-2023,CSE340/CSE540/ECE350,Digital Image Processing,UG/PG,Elective,No,,historical,No,,
23,Angshul Majumdar,Winter 2023,2022-2023,CSE640,Collaborative Filtering,UG/PG,Elective,No,,historical,No,,
24,Angshul Majumdar,Monsoon 2023,2023-2024,CSE340/CSE540/ECE350,Digital Image Processing,UG/PG,Elective,No,,historical,No,,
25,Angshul Majumdar,Winter 2026,2025-2026,CSE640,Collaborative Filtering,UG/PG,Elective,No,,historical,No,,
26,Vivek A Bohara,Monsoon 2022,2022-2023,ECE539,Wireless System Implementation,UG/PG,Elective,No,,historical,No,,
27,Vivek A Bohara,Winter 2023,2022-2023,ECE537,Wireless Communication: Evolution from 3G to 5G,UG/PG,Elective,No,,historical,No,,
28,Vivek A Bohara,Monsoon 2023,2023-2024,ECE539,Wireless System Implementation,UG/PG,Elective,No,,historical,No,,
29,Vivek A Bohara,Winter 2024,2023-2024,ECE537,Wireless Communication: Evolution from 3G to 5G,UG/PG,Elective,No,,historical,No,,
30,Vivek A Bohara,Winter 2024,2023-2024,CSE513,Parallel Runtimes for Modern Processors,UG/PG,Elective,No,,historical,No,,
31,Vivek A Bohara,Monsoon 2024,2024-2025,ECE539,Wireless System Implementation,UG/PG,Elective,No,,historical,No,,
32,Vivek A Bohara,Winter 2025,2024-2025,ECE537,Wireless Communication: Evolution from 3G to 5G,UG/PG,Elective,No,,historical,No,,
33,Vivek A Bohara,Monsoon 2025,2025-2026,ECE539,Wireless System Implementation,UG/PG,Elective,No,,historical,No,,
34,Vivek A Bohara,Winter 2026,2025-2026,ECE537,Wireless communication : Evolution from 3G to 5G,UG/PG,Elective,No,,historical,No,,
35,Anubha Gupta,Monsoon 2022,2022-2023,ECE250,Signals & Systems,UG,Core,No,,historical,No,,
36,Anubha Gupta,Winter 2023,2022-2023,CSE343/CSE543/ECE363/ECE563,Machine Learning,UG/PG,Core/Elective,No,,historical,No,,
37,Anubha Gupta,Monsoon 2023,2023-2024,ECE250,Signals & Systems,UG,Core,No,,historical,No,,
38,Anubha Gupta,Winter 2024,2023-2024,CSE343/CSE543/ECE363/ECE563,Machine Learning,UG/PG,Core/Elective,No,,historical,No,,
39,Anubha Gupta,Monsoon 2024,2024-2025,ECE250,Signals and Systems,UG,Core,No,,historical,No,,
40,Anubha Gupta,Winter 2025,2024-2025,CSE343/CSE543/ECE363/ECE563,Machine Learning,UG/PG,Core/Elective,No,,historical,No,,
41,Anubha Gupta,Monsoon 2025,2025-2026,ECE250,Signals and Systems,UG,Core,No,,historical,No,,
42,Anubha Gupta,Monsoon 2025,2025-2026,CSE665,Large language Models,UG/PG,Elective,No,,historical,No,,
43,Anubha Gupta,Winter 2026,2025-2026,CSE343/CSE543/ECE363/ECE563,Machine Learning,UG/PG,Core/Elective,No,,historical,No,,
44,Anand Srivastava,Monsoon 2022,2022-2023,ECE546,Optical and Wireless Convergence for Beyond 5G Networks and IoT (New),UG/PG,Elective,No,,historical,No,,
45,Anand Srivastava,Winter 2023,2022-2023,ECE543,Principles of Digital Communication Systems,UG/PG,Elective,No,,historical,No,,
46,Anand Srivastava,Monsoon 2023,2023-2024,ECE347/ECE547,Advanced Digital Communications,UG/PG,Elective,No,,historical,No,,
47,Tammam Tillo,Monsoon 2022,2022-2023,ECE111,Digital Circuits,UG,Core,Yes,Digital Circuits,historical,No,,
48,Tammam Tillo,Winter 2023,2022-2023,CSE112,Computer Organisation (Sec B),UG,Core,Yes,Computer Organization,historical,No,,
49,Tammam Tillo,Monsoon 2023,2023-2024,ECE111,Digital Circuits (Sec B),UG,Core,Yes,Digital Circuits,historical,No,,
50,Tammam Tillo,Winter 2024,2023-2024,ECE113,Basic Electronics (Sec A),UG,Core,Yes,Basic Electronics,historical,No,,
51,Tammam Tillo,Winter 2024,2023-2024,CSE112,Computer Organisation (Sec B),UG,Core,Yes,Computer Organization,historical,No,,
52,Tammam Tillo,Monsoon 2024,2024-2025,ECE111,Digital Circuits,UG,Core,Yes,Digital Circuits,historical,No,,
53,Shobha Sundar Ram,Monsoon 2022,2022-2023,ECE215,Circuit Theory and Devices,UG,Core,No,,historical,No,,
54,Shobha Sundar Ram,Winter 2023,2022-2023,ECE432/ECE632,Radar System,UG/PG,Elective,No,,historical,No,,
55,Shobha Sundar Ram,Monsoon 2023,2023-2024,ECE215,Circuit Theory and Devices,UG,Core,No,,historical,No,,
56,Shobha Sundar Ram,Winter 2024,2023-2024,ECE432/ECE632,Radar Systems,UG/PG,Elective,No,,historical,No,,
57,Shobha Sundar Ram,Monsoon 2024,2024-2025,ECE431/ECE631,Antennas Theory and Design,UG/PG,Elective,No,,historical,No,,
58,Shobha Sundar Ram,Winter 2025,2024-2025,ECE432/ECE632,Radar Systems,UG/PG,Elective,No,,historical,No,,
59,Shobha Sundar Ram,Monsoon 2025,2025-2026,ECE431/ECE631,Antenna Theory & Devices,UG/PG,Elective,No,,historical,No,,
60,Shobha Sundar Ram,Winter 2026,2025-2026,ECE432/ECE632,Radar System,UG/PG,Elective,No,,historical,No,,
61,Saket Anand,Monsoon 2022,2022-2023,CSE642,Advanced Machine Learning,UG/PG,Elective,No,,historical,No,,
62,Saket Anand,Winter 2023,2022-2023,CSE344/CSE544/ECE344/ECE544,Computer Vision,UG/PG,Elective,No,,historical,No,,
63,Saket Anand,Monsoon 2023,2023-2024,CSE340/CSE540/ECE350,Digital Image Processing,UG/PG,Elective,No,,historical,No,,
64,Saket Anand,Winter 2024,2023-2024,CSE344/CSE544/ECE344/ECE544,Computer Vision,UG/PG,Elective,No,,historical,No,,
65,Saket Anand,Monsoon 2024,2024-2025,CSE643,Artificial Intelligence,UG/PG,Elective,No,,historical,No,,
66,Saket Anand,Winter 2025,2024-2025,CSE344/CSE544/ECE344/ECE544,Computer Vision,UG/PG,Elective,No,,historical,No,,
67,Sumit J Darak,Monsoon 2022,2022-2023,ECE270,Embedded Logic Design,UG,Core,No,,historical,No,,
68,Sumit J Darak,Winter 2023,2022-2023,ECE573,Advanced Embedded Logic Design,UG/PG,Core/Elective,No,,historical,No,,
69,Sumit J Darak,Monsoon 2023,2023-2024,ECE270,Embedded Logic Design,UG,Core,No,,historical,No,,
70,Sumit J Darak,Winter 2024,2023-2024,ECE573,Advanced Embedded Logic Design,UG/PG,Core/Elective,No,,historical,No,,
71,Sumit J Darak,Winter 2024,2023-2024,ECE999A3,Microprocessors and Microcontrollers,UG/PG,Elective,No,,historical,No,,
72,Sumit J Darak,Monsoon 2024,2024-2025,ECE270,Embedded Logic Design,UG,Core,No,,historical,No,,
73,Sumit J Darak,Winter 2025,2024-2025,ECE573,Advanced Embedded Logic Design,UG/PG,Core/Elective,No,,historical,No,,
74,Sumit J Darak,Monsoon 2025,2025-2026,ECE270,Embedded Logic Design,UG,Core,No,,historical,No,,
75,Sumit J Darak,Winter 2026,2025-2026,ECE573,Advance Embeded Logic system,UG/PG,Core/Elective,No,,historical,No,,
76,Anuj Grover,Monsoon 2022,2022-2023,ECE314/ECE514,Digital VLSI Design,UG/PG,Core/Elective,No,,historical,No,,
77,Anuj Grover,Winter 2023,2022-2023,ECE611,Memory Design and Test,UG/PG,Elective,No,,historical,No,,
78,Anuj Grover,Monsoon 2023,2023-2024,ECE314/ECE514,Digital VLSI Design,UG/PG,Core/Elective,No,,historical,No,,
79,Anuj Grover,Winter 2024,2023-2024,ECE611,Memory Design and Test,UG/PG,Elective,No,,historical,No,,
80,Anuj Grover,Winter 2024,2023-2024,ECE999A,Introduction to Internet of Things,UG/PG,Elective,No,,historical,No,,
81,Anuj Grover,Winter 2024,2023-2024,ENT416/ENT516,Creativity Innovation and Inventive Problem Solving,UG/PG,Elective,No,,historical,No,,
82,Anuj Grover,Monsoon 2024,2024-2025,ECE314/ECE514,Digital VLSI Design,UG/PG,Core/Elective,No,,historical,No,,
83,Anuj Grover,Winter 2025,2024-2025,ECE611,Memory Design and Test,UG/PG,Elective,No,,historical,No,,
84,Anuj Grover,Winter 2025,2024-2025,ECE999A,Introduction To Internet Of Things,UG/PG,Elective,No,,historical,No,,
85,Anuj Grover,Winter 2025,2024-2025,ECE998,Introduction To Internet Of Things +,UG/PG,Elective,No,,historical,No,,
87,Anuj Grover,Monsoon 2025,2025-2026,ECE314/ECE514,Digital VLSI Design,UG/PG,Core/Elective,No,,historical,No,,
88,Anuj Grover,Monsoon 2025,2025-2026,CSE998,Introduction to Programming Internet of Things,UG/PG,Elective,No,,historical,No,,
89,Anuj Grover,Winter 2026,2025-2026,ECE611,Memory Design and Test,UG/PG,Elective,No,,historical,No,,
90,A V Subramanyam,Monsoon 2022,2022-2023,CSE340/CSE540/ECE350,Digital Image Processing,UG/PG,Elective,No,,historical,No,,
91,A V Subramanyam,Winter 2023,2022-2023,CSE542/ECE556,Statistical Machine Learning,UG/PG,Elective,No,,historical,No,,
92,A V Subramanyam,Monsoon 2023,2023-2024,CSE677/ECE677,Advances in Deep Learning,UG/PG,Elective,No,,historical,No,,
93,A V Subramanyam,Winter 2024,2023-2024,CSE342/ECE356,Statistical Machine Learning,UG/PG,Core/Elective,No,,historical,No,,
94,A V Subramanyam,Monsoon 2024,2024-2025,CSE677/ECE677,Advances in Deep Learning,UG/PG,Elective,No,,historical,No,,
95,A V Subramanyam,Winter 2025,2024-2025,CSE342/ECE356,Statistical Machine Learning,UG/PG,Core/Elective,No,,historical,No,,
96,A V Subramanyam,Monsoon 2025,2025-2026,CSE677/ECE677,Advances in Deep Learning,UG/PG,Elective,No,,historical,No,,
97,A V Subramanyam,Winter 2026,2025-2026,CSE542/ECE556,Statistical Machine Learning,UG/PG,Elective,No,,historical,No,,
98,Sneh Saurabh,Monsoon 2022,2022-2023,ECE318/ECE518,Solid State Devices,UG/PG,Elective,No,,historical,No,,
99,Sneh Saurabh,Winter 2023,2022-2023,ECE313/ECE513,VLSI Design Flow,UG/PG,Core/Elective,No,,historical,No,,
100,Sneh Saurabh,Monsoon 2023,2023-2024,ECE318/ECE518,Solid State Devices,UG/PG,Elective,No,,historical,No,,
101,Sneh Saurabh,Winter 2024,2023-2024,ECE313/ECE513,VLSI Design Flow,UG/PG,Core/Elective,No,,historical,No,,
102,Sneh Saurabh,Monsoon 2024,2024-2025,ECE527,Advanced Digital Design and Verification,UG/PG,Elective,No,,historical,No,,
103,Sneh Saurabh,Monsoon 2024,2024-2025,ECE313/ECE513,VLSI Design Flow,UG/PG,Core/Elective,No,,historical,No,,
104,Sneh Saurabh,Winter 2025,2024-2025,ECE613,Advanced Solid State Devices (New),UG/PG,Elective,No,,historical,No,,
105,Sneh Saurabh,Monsoon 2025,2025-2026,ECE527,Advanced Digital Design and Verification,UG/PG,Elective,No,,historical,No,,
106,Sneh Saurabh,Winter 2026,2025-2026,ECE613,Advance Solid  State devices,UG/PG,Elective,No,,historical,No,,
107,Pravesh Biyani,Monsoon 2022,2022-2023,ECE560,Data Processing and Management,UG/PG,Elective,No,,historical,No,,
109,Pravesh Biyani,Monsoon 2023,2023-2024,ECE111,Digital Circuits (Sec A),UG,Core,Yes,Digital Circuits,historical,No,,
110,Pravesh Biyani,Winter 2024,2023-2024,MTH374/MTH574,Linear Optimization,UG/PG,Elective,No,,historical,No,,
111,Pravesh Biyani,Monsoon 2024,2024-2025,ECE111,Digital Circuits (sec A),UG,Core,Yes,Digital Circuits,historical,No,,
112,Pravesh Biyani,Winter 2025,2024-2025,MTH374/MTH574,Linear Optimization,UG/PG,Elective,No,,historical,No,,
113,Pravesh Biyani,Monsoon 2025,2025-2026,ECE111,Digital Circuits,UG,Core,Yes,Digital Circuits,historical,No,,
114,Pravesh Biyani,Winter 2026,2025-2026,CSE654/ECE654,High Dimentional Statistics and Optimization,UG/PG,Elective,No,,historical,No,,
115,Sanat K Biswas,Monsoon 2022,2022-2023,ECE570,Linear Systems Theory,UG/PG,Elective,No,,historical,No,,
117,Sanat K Biswas,Monsoon 2023,2023-2024,ECE570,Linear Systems Theory,UG/PG,Elective,No,,historical,No,,
118,Sanat K Biswas,Winter 2024,2023-2024,ECE572,Estimation Theory for Dynamic Systems,UG/PG,Elective,No,,historical,No,,
119,Sanat K Biswas,Monsoon 2024,2024-2025,ECE570,Linear Systems Theory,UG/PG,Elective,No,,historical,No,,
120,Sanat K Biswas,Winter 2025,2024-2025,ECE572,Estimation Theory for Dynamic Systems,UG/PG,Elective,No,,historical,No,,
121,Sanat K Biswas,Monsoon 2025,2025-2026,ECE570,Linear Systems Theory,UG/PG,Elective,No,,historical,No,,
122,Sanat K Biswas,Winter 2026,2025-2026,ECE572,Estimation Theory for Dynamic Systems,UG/PG,Elective,No,,historical,No,,
123,Sayan Basu Roy,Monsoon 2022,2022-2023,CSE633/ECE670,Robotics,UG/PG,Elective,No,,historical,No,,
124,Sayan Basu Roy,Winter 2023,2022-2023,ECE577,Machine Learning Techniques for Real Time Control,UG/PG,Elective,No,,historical,No,,
125,Sayan Basu Roy,Monsoon 2023,2023-2024,CSE633/ECE670,Robotics,UG/PG,Elective,No,,historical,No,,
126,Sayan Basu Roy,Winter 2024,2023-2024,ECE113,Basic Electronics (Sec B),UG,Core,Yes,Basic Electronics,historical,No,,
127,Sayan Basu Roy,Winter 2024,2023-2024,ECE113,Basic Electronics (Sec A),UG,Core,Yes,Basic Electronics,historical,No,,
128,Sayan Basu Roy,Winter 2024,2023-2024,ECE999A,Embedded Systems Design,UG/PG,Elective,No,,historical,No,,
129,Sayan Basu Roy,Monsoon 2024,2024-2025,CSE633/ECE670,Robotics,UG/PG,Elective,No,,historical,No,,
130,Sayan Basu Roy,Winter 2025,2024-2025,ECE113,Basic Electronics (Sec A),UG,Core,Yes,Basic Electronics,historical,No,,
131,Sayan Basu Roy,Monsoon 2025,2025-2026,CSE633/ECE670,Robotics,UG/PG,Elective,No,,historical,No,,
132,Sayan Basu Roy,Winter 2026,2025-2026,ECE113,Basic Electronics Section A,UG,Core,Yes,Basic Electronics,historical,No,,
133,Sayak Bhattacharya,Monsoon 2022,2022-2023,ECE525,Quantum Mechanics (new),UG/PG,Elective,No,,historical,No,,
134,Sayak Bhattacharya,Winter 2023,2022-2023,ECE230,Fields and Waves,UG,Core,No,,historical,No,,
135,Sayak Bhattacharya,Monsoon 2023,2023-2024,ECE525,Quantum Mechanics,UG/PG,Elective,No,,historical,No,,
136,Sayak Bhattacharya,Winter 2024,2023-2024,ECE230,Fields and Waves,UG,Core,No,,historical,No,,
137,Sayak Bhattacharya,Winter 2024,2023-2024,ECE999A,Coherence and Quantum Entanglement,UG/PG,Elective,No,,historical,No,,
138,Sayak Bhattacharya,Monsoon 2024,2024-2025,ECE525,Quantum Mechanics,UG/PG,Elective,No,,historical,No,,
139,Sayak Bhattacharya,Winter 2025,2024-2025,ECE230,Fields and Waves,UG,Core,No,,historical,No,,
140,Sayak Bhattacharya,Winter 2025,2024-2025,ECE999A1,Quantum Transport,UG/PG,Elective,No,,historical,No,,
141,Sayak Bhattacharya,Monsoon 2025,2025-2026,ECE525,Quantum Mechanics,UG/PG,Elective,No,,historical,No,,
142,Sayak Bhattacharya,Winter 2026,2025-2026,ECE230,Fields and waves,UG,Core,No,,historical,No,,
143,Ranjitha Prasad,Monsoon 2022,2022-2023,CSE515/ECE551,Bayesian Machine Learning,UG/PG,Elective,No,,historical,No,,
144,Ranjitha Prasad,Winter 2023,2022-2023,ECE240,Principles of Communication Systems,UG,Core,No,,historical,No,,
145,Ranjitha Prasad,Monsoon 2023,2023-2024,CSE665A,Distributed and Federated Machine Learning,UG/PG,Elective,No,,historical,No,,
