id,course_id,variant_code,variant_name
1,1,CSE 311/ECE511,Computer Architecture
2,1,CSE511/ECE511,Computer Architecture
3,1,ECE511/CSE511,Computer Architecture
4,2,CSE CSE665A,Distributed and Federated Machine Learning
5,2,CSE665A,Distributed and Federated Machine Learning DFML
6,3,CSE ECE600A,Object Oriented Programming and Design
7,3,CSE600/ECE600,ECE600A Object Oriented Programming and Design
8,4,CSE-640,Collaborative Filtering
9,4,CSE640,Collaborative Filtering
10,5,CSE/ECE654,High dimensional Optimization & Statistics
11,5,CSE654/ECE654,High Dimentional Statistics and Optimization
12,6,CSE112,Computer Organisation
13,7,CSE121,Discrete Mathematics
14,8,CSE201,Advanced Programming- Sec A
15,9,CSE231,Operating Systems - Sec A
16,10,CSE340/CSE540,ECE350 Digital Image Processing
17,11,CSE342/ECE356,Statistical Machine Learning
18,12,CSE343/ECE363/ECE563/CSE543,/ECE563/CSE543 Machine Learning
19,12,ECE563,ML
20,13,CSE344/CSE544/ ECE344/ECE544,ECE344/ECE544 Computer Vision
21,14,CSE513,Parallel Runtimes for Modern Processors
22,15,CSE516/ECE559,Theories of Deep Learning
23,16,CSE535,Mobile Computing
24,17,CSE538/ECE538,Wireless Networks
25,18,CSE542/ECE556,Statistical Machine Learning
26,18,ECE556,Statistical Machine Learning
27,19,CSE572/ECE561,Speech and Audio Processing
28,20,CSE633/ECE670,Robotics
29,21,CSE641/ECE555,Deep Learning
30,22,CSE642,Advanced Machine Learning
31,23,CSE643,Artificial Intelligence
32,24,CSE665,Large language Models
33,25,CSE999A,Build Basic Generative Adversarial Networks (GANs)
34,26,CSE999A2,Machine Learning Engineering for Production (MLOps) Specialization
35,27,ECE 214,Integrated Electronics
36,28,ECE ECE113,Basic Electronics
37,28,ECE113,Basic Electronics Section A
38,29,ECE ECE240,Principles of Communication Systems
39,29,ECE240,Principles of the communcation systems
40,30,ECE ECE513/ECE313,VLSI Design Flow
41,30,ECE513,VLSI Design Flow
42,31,ECE ECE564/CSE564,Reinforcement Learning
43,31,ECE564/CSE564,Reinforcement Learning
44,32,ECE/EVE/CSE ECE 998/CSE998,Introduction to Programming Internet of Things
45,33,ECE111,Digital Circuits
46,34,ECE210/ECE310,Physics of Semiconductor Devices
47,35,ECE211,Electronic System Design (New)
48,36,ECE215,Circuit Theory and Devices
49,37,ECE230,Fields and Waves
50,38,ECE250,Signals and Systems
51,39,ECE270,Embedded Logic Design
52,40,ECE314/ECE514,Digital VLSI Design
53,41,ECE315/ECE515,Analog CMOS Circuit Design
54,42,ECE318/ECE518,Solid State Devices
55,43,ECE331/ECE531,Applied Fields & Waves
56,44,ECE340,Digital Communication Systems
57,45,ECE343,Mobile Communication
58,46,ECE347/ECE547,Advanced Digital Communications
59,47,ECE351,Digital Signal Processing
60,48,ECE366/ECE566,Neural Engineering and Implantable Devices (New)
61,49,ECE431/ECE631,Antennas Theory and Design
62,50,ECE432/632,ECE632 Radar System
63,51,ECE501,Probability and Random Processes
64,52,ECE517,Introduction to Nanoelectronics
65,53,ECE522,Integrated Circuit Fabrication
66,54,ECE524,Quantum Materials and Devices
67,55,ECE525,Quantum Mechanics (new)
68,56,ECE527,Advanced Digital Design and Verification
69,57,ECE529,Quantum Optics
70,58,ECE530,Quantum Communication and Networks
71,59,ECE537,Wireless communication : Evolution from 3G to 5G
72,60,ECE539,Wireless System Implementation
73,61,ECE543,Advanced Digital Communications (Students interested in taking DCS course should opt for ADC)
74,62,ECE546,Optical and Wireless Convergence for Beyond 5G Networks and IoT (New)
75,63,ECE548,Advanced Digital Communications
76,64,ECE551/CSE515,Bayesian Machine Learning
77,65,ECE560,Data Processing and Management
78,66,ECE565,Tomographic Imaging (Computerized Tomography) (New)
79,67,ECE567,Nano and Metaphotonics
80,68,ECE570,Linear Systems Theory
81,69,ECE571,Optimal Control Systems
82,70,ECE572,Estimation Theory for Dynamic Systems
83,71,ECE573,Advanced Embedded Logic Design
84,72,ECE577,Machine Learning Techniques for Real Time Control
85,73,ECE611,Memory Design and Test
86,74,ECE613,Advanced Solid State Devices (New)
87,75,ECE614,Emerging Memory Devices for Neuromorphic Computing
88,76,ECE634/CSE646,Information Theory
89,77,ECE636,Communication Networks
90,78,ECE666/CSE517,Applied Optimization Methods for Machine Learning
91,79,ECE677/CSE677,Advances in Deep Learning
92,80,ECE998,Introduction To Internet Of Things +
93,81,ECE999,Self Driving Cars Specialization
94,82,ECE999A,Introduction to Internet of Things
95,83,ECE999A1,Quantum Transport
96,84,ECE999A2,Advanced Computer Architecture
97,85,ECE999A3,Microprocessors and Microcontrollers
98,86,ENG599s,Research Methods
99,87,ENT416/ENT516,Creativity Innovation and Inventive Problem Solving
100,88,MTH201,Probability and Statistics
101,89,MTH310/MTH520,Graph Theory
102,90,MTH371,Stochastic Processes and Applications
103,91,MTH374/MTH574,Linear Optimization
