id,faculty_name,year,exact_year,awarded_by,award,created_at,updated_at
1,A V Subramanyam,2023-2024,2025,BMVC (British Machine Vision Conference),Paper 'Layout Free Scene Graph to Image Generation' nominated in top 10 posters in BMVC 2025,2026-06-04 18:46:33,2026-06-04 13:28:21
2,A V Subramanyam,2023-2024,2024,Vehant Technologies / NCVPRIPG 2024,"Mentored best performing team in Smart City Surveillance challenge, NCVPRIPG 2024, by Vehant Technologies",2026-06-04 18:46:33,2026-06-04 18:46:33
3,A V Subramanyam,2022-2023,2022,IEEE (MIPR 2022),"Best Paper Award, IEEE International Conference on Multimedia Information Processing and Retrieval (MIPR), 2022",2026-06-04 18:46:33,2026-06-04 18:46:33
4,Abhijit Mitra,2024-2025,2024,IEEE Future Networks,"First place in Student Tech Leadership Conference in IEEE Future Networks, Dubai, 2024",2026-06-04 18:46:33,2026-06-04 18:46:33
5,Abhijit Mitra,2024-2025,2025,IEEE COMSNETS 2025,"Best Demo Award (Runners Up) in IEEE COMSNETS 2025, Bangalore",2026-06-04 18:46:33,2026-06-04 18:46:33
6,Abhijit Mitra,2024-2025,2025,IEEE ANTS 2025 / IIIT Delhi,"TPC Chair for IEEE ANTS 2025, IIIT Delhi, India",2026-06-04 18:46:33,2026-06-04 18:46:33
7,Abhijit Mitra,2023-2024,2025,IIIT Delhi (DIRD),Dean Innovation and Research Development (DIRD) Award 2024-2025 at IIIT Delhi,2026-06-04 18:46:33,2026-06-04 18:46:33
8,Abhijit Mitra,2023-2024,2024,IEEE ANTS 2024 / IIT Guwahati,"Honorable Mention Award in IEEE ANTS 2024, IIT Guwahati",2026-06-04 18:46:33,2026-06-04 18:46:33
9,Abhijit Mitra,2023-2024,2024,IEEE ANTS 2024 / IIT Guwahati,Invited Industry Forum Chair for IEEE ANTS 2024 at IIT Guwahati,2026-06-04 18:46:33,2026-06-04 18:46:33
10,Abhijit Mitra,2023-2024,2024,"CDOT, TSDSI, DOT","Invited Speaker at Second International Conclave on Quantum Technology (CDOT, TSDSI, DOT), Feb 2024",2026-06-04 18:46:33,2026-06-04 18:46:33
11,Abhijit Mitra,2023-2024,2024,CDOT,"Invited Panelist by CDOT on advances and challenges in Quantum Communication integration, March 2024",2026-06-04 18:46:33,2026-06-04 18:46:33
