id,name,designation,department,scholar_id,join_year,leave_year,photo_url,profile_link
1,A V Subramanyam,Professor,ECE/CSE,aPDRgKAAAAAJ,2012,,https://iiitd.ac.in/sites/default/files/images/faculty/subramanyam.jpg,https://iiitd.ac.in/subramanyam
2,Abhijit Mitra,Assistant Professor,ECE,87H3WDwAAAAJ,2017,,https://iiitd.ac.in/sites/default/files/images/faculty/abhijit.jpg,https://iiitd.ac.in/abhijit
3,Angshul Majumdar,Professor,ECE/CSE,nwNIkAUAAAAJ,2012,,https://iiitd.ac.in/sites/default/files/images/faculty/angshul.jpg,https://iiitd.ac.in/angshul
4,Anubha Gupta,Professor,ECE/CSE,VWCf3JEAAAAJ,2013,,https://iiitd.ac.in/sites/default/files/images/faculty/anubhag.jpg,https://iiitd.ac.in/anubha
5,Anuj Grover,Associate Professor,ECE,uDOo1fUAAAAJ,2013,,https://iiitd.ac.in/sites/default/files/images/faculty/anujg.jpg,https://iiitd.ac.in/anujg
6,Arani Bhattacharya,Assistant Professor,CSE/ECE,YjiIDkjozUcC,2020,,https://iiitd.ac.in/sites/default/files/images/faculty/arani.jpg,https://iiitd.ac.in/arani
7,Chanekar Prasad Vilas,Assistant Professor,ECE,FABnaY8AAAAJ,2022,,https://iiitd.ac.in/sites/default/files/images/faculty/chanekar.jpg,https://iiitd.ac.in/chanekar
8,Manuj Mukherjee,Assistant Professor,ECE/Math,n9Ug4-8AAAAJ,2022,,https://iiitd.ac.in/sites/default/files/images/faculty/manuj.jpg,https://iiitd.ac.in/manuj
9,Pragya Kosta,Assistant Professor,ECE,sXBbDMYAAAAJ,2023,,https://iiitd.ac.in/sites/default/files/images/faculty/pragya.jpg,https://iiitd.ac.in/pragya
10,Pravesh Biyani,Professor,ECE,x5XsnwkAAAAJ,2014,,https://iiitd.ac.in/sites/default/files/images/faculty/pravesh.jpg,https://iiitd.ac.in/praveshb
11,Ram Krishna Ghosh,Associate Professor,ECE,oGDNhLMAAAAJ,2021,,https://iiitd.ac.in/sites/default/files/images/faculty/rkghosh.jpg,https://iiitd.ac.in/rkghosh
12,Ranjitha Prasad,Assistant Professor,ECE,ADJe1AsAAAAJ,2019,,https://iiitd.ac.in/sites/default/files/images/faculty/ranjitha.jpg,https://iiitd.ac.in/ranjitha
13,Saket Anand,Associate Professor,CSE/ECE,YmYvVEQAAAAJ,2020,,https://iiitd.ac.in/sites/default/files/images/faculty/saket.jpg,https://iiitd.ac.in/anands
14,Sanat K Biswas,Associate Professor,ECE,H3Td2TUAAAAJ,2017,,https://iiitd.ac.in/sites/default/files/images/faculty/sanatk.jpg,https://iiitd.ac.in/sanat
15,Sanjit Krishnan Kaul,Professor,ECE,XGNQPRsAAAAJ,2011,,https://iiitd.ac.in/sites/default/files/images/faculty/sanjit.jpg,https://iiitd.ac.in/skkaul
16,Sayak Bhattacharya,Assistant Professor,ECE,6mPJeBEAAAAJ,2019,,https://iiitd.ac.in/sites/default/files/images/faculty/sayakbhatt.jpg,https://iiitd.ac.in/sayak
17,Sayan Basu Roy,Associate Professor,ECE,FKuAjBcAAAAJ,2018,,https://iiitd.ac.in/sites/default/files/images/faculty/sayan.jpg,https://iiitd.ac.in/sayan
18,Shamik Sarkar,Assistant Professor,ECE,qSmOfJ8AAAAJ,2023,,https://iiitd.ac.in/sites/default/files/images/faculty/shamik.jpg,https://iiitd.ac.in/shamik
19,Shobha Sundar Ram,Professor,ECE,dwRa-dIAAAAJ,2013,,https://iiitd.ac.in/sites/default/files/images/faculty/shobha.jpg,https://iiitd.ac.in/shobha
20,Sneh Saurabh,Professor,ECE,V7XGG2AAAAAJ,2016,,https://iiitd.ac.in/sites/default/files/images/faculty/sneh.jpg,https://iiitd.ac.in/sneh
21,Sujay Deb,Professor,ECE/CSE,e3z7tT0AAAAJ,2012,,https://iiitd.ac.in/sites/default/files/images/faculty/sujay.jpg,https://iiitd.ac.in/sdeb
22,Sukanta Nandi,Assistant Professor,ECE,MvuS4BkAAAAJ,2025,,https://iiitd.ac.in/sites/default/files/images/faculty/sukanta.jpg,https://iiitd.ac.in/sukanta
23,Sumit J Darak,Professor,ECE,mWVoHMkAAAAJ,2015,,https://iiitd.ac.in/sites/default/files/images/faculty/sumit.jpg,https://iiitd.ac.in/sumit
24,Vivek Bohara,Professor,ECE,6oR0lYkAAAAJ,2013,,https://iiitd.ac.in/sites/default/files/images/faculty/vivek.jpg,https://iiitd.ac.in/vivek
25,Mohammad Hashmi,Associate Professor,ECE,oEJfDLkAAAAJ,2012,2018,https://www.iiitd.edu.in/%7Emshashmi/Homepage_of_Mohammad_Hashmi_files/mypic3.jpg,https://www.iiitd.edu.in/%7Emshashmi/index.html
26,Debidas Kundu,Assistant Professor,ECE,1KKrxUgAAAAJ,2023,2025,https://iiitd.ac.in/sites/default/files/debidas.jpg,https://iiitd.ac.in/debidas
27,Anand Srivastava,Professor,ECE,hdF2wx4AAAAJ,2014,2023,https://lh3.googleusercontent.com/sitesv/AA5AbUCLuHYgpGd81ldNhhDTh8BMfdAyLOhmg0HyTvkw3TuoJ7kNcBKZ4VbSevHxZSJr35ZomsXBtRQMbVODi_pFkEFSD-JgBvN1waN4Qlnyq31WkGdJsgZC7b04i2ux-wcEu11Dh6e5MmqJqXuLM-Jvt0fef4ZfO3G9ahx5w2jBBrokiD1QrHGn112fD81oSOMw7Ex_dlC_P9c3wPvdrqJR0x8_oeLTBFfIRCEi=w1280,https://sites.google.com/iiitd.ac.in/anand-srivastava/home
