id,faculty_name,year,exact_year,society_name,grade_position,created_at,updated_at
1,Manuj Mukherjee,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
2,Sanat K Biswas,,,IEEE,Senior Member,2026-06-23 00:00:00,2026-06-23 00:00:00
3,Sanat K Biswas,,,Astronautical Society of India,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
4,Sanat K Biswas,,,Automatic Control & Dynamic Optimization Society (ACDOS),Member,2026-06-23 00:00:00,2026-06-23 00:00:00
5,Sanat K Biswas,,,International Union of Radio Science,Senior Member,2026-06-23 00:00:00,2026-06-23 00:00:00
6,Chanekar Prasad Vilas,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
7,Sumit Darak,,,IEEE,Senior Member,2026-06-23 00:00:00,2026-06-23 00:00:00
8,Vivek Bohara,,,"IEEE, TSDSI, Bharat 6G Alliance, IETE",Senior Member (IEEE),2026-06-23 00:00:00,2026-06-23 00:00:00
9,Sujay Deb,,,"IEEE, ACM",Senior Member (IEEE),2026-06-23 00:00:00,2026-06-23 00:00:00
10,Abhijit Mitra,,,"IEEE, TSDSI",Member,2026-06-23 00:00:00,2026-06-23 00:00:00
11,Anuj Grover,,,"IEEE, TSDSI",Senior Member (IEEE),2026-06-23 00:00:00,2026-06-23 00:00:00
12,Arani Bhattacharya,,,"IEEE, ACM",Member,2026-06-23 00:00:00,2026-06-23 00:00:00
13,Shamik Sarkar,,,"IEEE, TSDSI, Bharat 6G Alliance",Member,2026-06-23 00:00:00,2026-06-23 00:00:00
14,Sneh Saurabh,,,IEEE,Senior Member,2026-06-23 00:00:00,2026-06-23 00:00:00
15,Sayan Basu Roy,,,"IEEE, IEEE CSS",Member,2026-06-23 00:00:00,2026-06-23 00:00:00
16,Ranjitha Prasad,,,"IEEE / IEEE SPS, ACM","Senior Member, Member",2026-06-23 00:00:00,2026-06-23 00:00:00
17,A V Subramanyam,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
18,Anubha Gupta,,,IEEE/ IETE,"Senior Member, Life Member",2026-06-23 00:00:00,2026-06-23 00:00:00
19,Shobha Sundar Ram,,,IEEE,Senior Member,2026-06-23 00:00:00,2026-06-23 00:00:00
20,Saket Anand,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
21,Pravesh Biyani,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
22,Pragya Kosta,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
23,Sanjit Kaul,,,IEEE,Member,2026-06-23 00:00:00,2026-06-23 00:00:00
